feature,importance
SSLfinal_State,0.3210138330486392
URL_of_Anchor,0.23992455290331627
web_traffic,0.07454663566488735
having_Sub_Domain,0.06494569360245918
Prefix_Suffix,0.04695267549042148
Links_in_tags,0.0440500610629338
SFH,0.02214465512852778
Request_URL,0.018736281767092567
Links_pointing_to_page,0.01842356586220605
Domain_registeration_length,0.015890040287610485
age_of_domain,0.015594981223832294
having_IP_Address,0.013341717713753256
Page_Rank,0.012339883991302442
Google_Index,0.012297879343165603
DNSRecord,0.01170133589108303
URL_Length,0.008301232259395325
HTTPS_token,0.0061406877597024855
Shortining_Service,0.005706943496937064
having_At_Symbol,0.005623403337358929
Redirect,0.005582715072036009
Submitting_to_email,0.005282733116330944
popUpWidnow,0.00500620126097939
Statistical_report,0.004989813486845005
Abnormal_URL,0.00428451010737628
Favicon,0.0039431591505052046
double_slash_redirecting,0.003755017312285094
on_mouseover,0.003430536018025938
Iframe,0.0023877200105966775
port,0.002290965883705723
RightClick,0.0013705687466892677
